# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250301
# Fecha de finalización: 20250331
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Accesorios de instalación - Página 2 de 6 - Vulcano SA,0,10,0,1,0,0,1,10,95,13
Accesorios de instalación - Página 3 de 6 - Vulcano SA,0,11,0,2,1,0,2,5.5,51,16
Accesorios de instalación - Página 4 de 6 - Vulcano SA,0,7,0,2,1,0,2,3.5,26.5,10
Accesorios de instalación - Página 5 de 6 - Vulcano SA,0,5,0,3,2,0,3,1.6666666666666667,39,8
Accesorios de instalación - Página 6 de 6 - Vulcano SA,0,3,0,3,3,0,3,1,10.333333333333334,9
Accesorios de instalación - Vulcano SA,0.0273972602739726,243,0,63,26,1,63,3.857142857142857,56.80952380952381,410
Accesorios de instalación archivos - Vulcano SA,0,3,0,2,1,0,2,1.5,28.5,6
Accesorios de piscinas - Vulcano SA,0.02689486552567237,2968,0,702,238,86,701,4.2339514978601995,66.97146932952924,4961
Acessórios para Piscina - Vulcano SA,0,0,0,1,0,0,1,0,6,1
Acople con varilla para cartucho skimmer - Vulcano SA,0.3333333333333333,2,0,2,2,0,2,1,7,6
"Acople giratorio comb. 1 1/4"" - 1 1/2"" - Vulcano SA",0,5,0,4,1,0,4,1.25,30.75,13
"Acople giratorio recto combinado 1 1/4"" - 1 1/2"" - Vulcano SA",0,21,0,19,10,3,19,1.105263157894737,37.73684210526316,64
"Acople rápido 90° combinado 1 1/4"" - 1 1/2"" - Vulcano SA",0.058823529411764705,21,0,17,5,9,17,1.2352941176470589,29.647058823529413,60
"Acople rápido 90° espigado 1 1/2"" - Vulcano SA",0.05263157894736842,16,0,14,11,0,14,1.1428571428571428,33.142857142857146,37
"Acople rápido 90° liso 1 1/2"" - Vulcano SA",0.07142857142857142,13,0,12,8,2,12,1.0833333333333333,36,39
"Acople rápido 90° liso 1 1/4"" - Vulcano SA",0,1,0,1,1,0,1,1,29,3
"Acople rápido de bronce recto liso 2"" - Vulcano SA",0,11,0,11,5,6,11,1,12.727272727272727,38
"Acople rápido p/caño de PVC M-H rosca 1 1/2"" - pegar ø40 - Vulcano SA",0.07692307692307693,14,0,12,6,3,12,1.1666666666666667,42.333333333333336,33
"Acople rápido p/caño de PVC M-H rosca 1 1/2"" - pegar ø50 - Vulcano SA",0.2,8,0,9,4,3,9,0.8888888888888888,34.55555555555556,27
"Acople rápido p/caño de PVC M-H rosca 1 1/2"" - pegar ø50 archivos - Vulcano SA",0.3333333333333333,2,0,2,1,1,2,1,1.5,8
Acople rápido p/caño de PVC M-H rosca 1 1/2″ – pegar ø50 archivos - Vulcano SA,0,2,0,2,0,1,2,1,26,6
"Acople rápido recto combinado 1 1/4"" - 1 1/2"" - Vulcano SA",0,21,0,19,14,2,19,1.105263157894737,52.1578947368421,55
"Acople rápido recto espigado 1 1/2"" - Vulcano SA",0.125,24,0,21,14,1,21,1.1428571428571428,27.047619047619047,61
"Acople rápido recto liso 1 1/2"" - Vulcano SA",0.034482758620689655,26,0,20,12,2,20,1.3,30.4,81
"Acople rápido recto liso 1 1/4"" - Vulcano SA",0,4,0,4,4,0,4,1,10.25,10
