# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250401
# Fecha de finalización: 20250430
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Bomba sumergible Q2501 - Vulcano SA,0,9,1,9,3,4,9,1,64.77777777777777,30
Bomba sumergible Q5501 - Vulcano SA,0.16666666666666666,6,1,5,1,1,5,1.2,22,16
Carro para bomba (base plástica) - Vulcano SA,0.1111111111111111,9,1,7,4,1,7,1.2857142857142858,10.857142857142858,22
Carro para filtro VC-30 - Vulcano SA,0,10,1,7,5,0,7,1.4285714285714286,37.57142857142857,22
Cascada Arrecife 47 - Vulcano SA,0.1,10,1,8,4,1,8,1.25,35.5,20
Cascada Arrecife 79 - Vulcano SA,0.06666666666666667,15,1,11,7,1,11,1.3636363636363635,70,34
Cascada Riviera 44 - Vulcano SA,0.21052631578947367,17,1,13,10,0,13,1.3076923076923077,18.076923076923077,34
"Cascada plástica ABS 030 (1 1/2"") - Vulcano SA",0,3,1,3,0,2,3,1,10.666666666666666,11
"Cascada plástica ABS 040 (1 1/2"") - Vulcano SA",0,5,1,5,3,0,5,1,49.4,14
Cascada plástica ABS 120 (ø50) - Vulcano SA,0,4,1,3,1,0,2,2,17,9
"Cascada plástica ABS 200 (1 1/2"") - Vulcano SA",0.25,4,1,2,1,1,2,2,8.5,13
"Cascada plástica ABS 240 (1 1/2"") - Vulcano SA",0,5,1,4,1,1,4,1.25,10,11
Casilla soplada fondo plano - Vulcano SA,0.1,11,1,9,2,4,9,1.2222222222222223,17.22222222222222,39
Colector con salida central PN10 - PN16 ø50 mm (para pegar) - Vulcano SA,0,9,1,7,4,1,7,1.2857142857142858,18.714285714285715,22
Colector con salida lateral PN10 - PN16 ø50 mm (para pegar) - Vulcano SA,0,4,1,4,2,0,4,1,11,9
Controlador 90W para luminaria RGB - Vulcano SA,0,6,1,6,3,0,5,1.2,13,11
Cruz PN16 HH ø40 mm (para pegar) - Vulcano SA,0.5,1,1,1,0,0,1,1,16,4
Easy Pool Touch 63W - Vulcano SA,0,11,1,9,4,1,9,1.2222222222222223,19.11111111111111,24
Escalera Confort 2 ABS - Vulcano SA,0.09090909090909091,14,1,5,4,0,5,2.8,30.2,36
Fuente Switching 2A (24W) - Vulcano SA,0,1,1,1,1,0,1,1,7,3
