# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250601
# Fecha de finalización: 20250630
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Luz cascada RGB 50 cm / 5W - Vulcano SA,0,6,1,6,2,2,6,1,5.166666666666667,20
"Manguito PN16 ø40 mm - RM 1 1/4"" (para pegar y roscar) - Vulcano SA",0,9,1,5,5,0,5,1.8,60.8,31
"Manguito PN16 ø63 mm - RM 2"" (para pegar y roscar) - Vulcano SA",0,9,1,5,3,1,5,1.8,49.2,28
"PowerLED 4,5W RGB 2,6 m - Vulcano SA",0,6,1,5,3,0,5,1.2,36.8,17
PowerLED 9W RGB 5 m - Vulcano SA,0,11,1,9,4,4,9,1.2222222222222223,34.44444444444444,33
Tapón macho PN16 ø50 mm (para pegar) - Vulcano SA,0,2,1,2,0,1,2,1,2.5,6
Tee 90° PN16 HH ø40 mm (para pegar) - Vulcano SA,0,2,1,2,2,0,2,1,20,6
Tee 90° Reducción PN16 HH ø40 - ø20 mm (para pegar) - Vulcano SA,0.25,3,1,2,2,0,2,1.5,5.5,9
Tubo flexible PVC ø25 mm (Hidroflex) - Vulcano SA,0.16666666666666666,5,1,2,1,0,2,2.5,42.5,14
Unión doble PN16 HH ø50 mm (para pegar) - Vulcano SA,0,5,1,5,3,1,5,1,9.6,15
"Válvula esférica PN10 HH 2"" (para roscar) - Vulcano SA",0,3,1,2,1,1,2,1.5,24.5,10
Válvula esférica PN16 HH ø50 mm (para pegar) - Vulcano SA,0,5,1,4,4,1,4,1.25,19.25,19
Válvula esférica PN16 HH ø63 mm (para pegar) - Vulcano SA,0,3,1,2,1,0,2,1.5,20,10
AISI 316 archivos - Vulcano SA,0.037037037037037035,28,0,25,21,1,25,1.12,20.96,71
Ablandador de agua ABL-1044 (incluye salero) archivos - Vulcano SA,0,1,0,1,0,0,1,1,3,2
Ablandadores de agua archivos - Vulcano SA,0,150,0,127,49,2,127,1.1811023622047243,13.417322834645669,336
Accesorios de Instalación - Vulcano SA,0,78,0,54,29,1,53,1.471698113207547,32.9622641509434,209
Accesorios de PVC archivos - Página 3 de 4 - Vulcano SA,0,7,0,1,0,1,1,7,95,13
Accesorios de PVC archivos - Página 4 de 4 - Vulcano SA,0,4,0,3,0,0,3,1.3333333333333333,18.666666666666668,8
Accesorios de PVC archivos - Vulcano SA,0.07407407407407407,99,0,21,11,1,21,4.714285714285714,64.04761904761905,162
Accesorios de instalación - Página 2 de 6 - Vulcano SA,0,1,0,1,0,0,1,1,1,2
Accesorios de instalación - Página 6 de 6 - Vulcano SA,0,6,0,2,1,0,2,3,22,12
Accesorios de instalación - Vulcano SA,0,181,0,39,21,0,39,4.641025641025641,78.51282051282051,284
Accesorios de instalación archivos - Vulcano SA,0,4,0,3,2,0,3,1.3333333333333333,15,9
Accesorios de piscinas - Vulcano SA,0.030965391621129327,1916,0,484,161,70,482,3.975103734439834,55.5,3231
Accesorios de piscinas - Vulcano SA | Chile,0,4,0,2,2,0,2,2,11,7
Acessórios para Piscina - Vulcano SA,0,6,0,3,1,0,3,2,48.333333333333336,12
Acople NORYL (aro suplemento) - Vulcano SA,0,1,0,1,0,1,1,1,4,4
Acople con varilla para cartucho skimmer - Vulcano SA,0,2,0,2,1,0,2,1,16,4
"Acople giratorio comb. 1 1/4"" - 1 1/2"" - Vulcano SA",0,5,0,5,4,0,5,1,17.8,14
"Acople giratorio recto combinado 1 1/4"" - 1 1/2"" - Vulcano SA",0.09523809523809523,24,0,16,12,2,16,1.5,62.5625,68
