# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250501
# Fecha de finalización: 20250531
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Accesorios de Instalación - Vulcano SA,0.03125,74,0,52,37,0,51,1.4509803921568627,24.725490196078432,187
Accesorios de PVC archivos - Página 4 de 4 - Vulcano SA,0,4,0,2,0,0,2,2,11,6
Accesorios de PVC archivos - Vulcano SA,0.06896551724137931,73,0,27,11,1,27,2.7037037037037037,47.48148148148148,125
Accesorios de instalación - Página 2 de 6 - Vulcano SA,0,3,0,1,1,0,1,3,90,8
Accesorios de instalación - Página 3 de 6 - Vulcano SA,0.3333333333333333,4,0,3,2,1,2,2,6.5,14
Accesorios de instalación - Página 4 de 6 - Vulcano SA,0,3,0,3,0,1,3,1,9,11
Accesorios de instalación - Página 5 de 6 - Vulcano SA,0,1,0,1,0,0,0,0,0,2
Accesorios de instalación - Página 6 de 6 - Vulcano SA,0,7,0,3,2,0,3,2.3333333333333335,15.666666666666666,13
Accesorios de instalación - Vulcano SA,0.019230769230769232,166,0,46,17,2,46,3.608695652173913,52.76086956521739,272
Accesorios de instalación archivos - Vulcano SA,0,5,0,4,2,2,4,1.25,35.75,16
Accesorios de piscinas - Vulcano SA,0.0203125,2625,0,531,212,52,529,4.96219281663516,70.63327032136105,4279
Acessórios de instalação - Vulcano SA,0,0,0,1,0,0,1,0,21,2
Acessórios para Piscina - Vulcano SA,0,0,0,1,0,0,1,0,48,4
Acople NORYL (aro suplemento) - Vulcano SA,0,4,0,3,3,0,3,1.3333333333333333,18.666666666666668,11
Acople con varilla para cartucho filtro - Vulcano SA,0,1,0,1,1,0,1,1,24,3
Acople con varilla para cartucho skimmer - Vulcano SA,0,2,0,2,1,1,2,1,41,7
"Acople giratorio comb. 1 1/4"" - 1 1/2"" - Vulcano SA,0.4,5,0,1,1,0,1,5,21,16"
"Acople giratorio recto combinado 1 1/4"" - 1 1/2"" - Vulcano SA,0.07142857142857142,15,0,11,7,2,11,1.3636363636363635,32.54545454545455,47"
"Acople rápido 90° combinado 1 1/4"" - 1 1/2"" - Vulcano SA,0,8,0,8,1,7,8,1,16.875,29"
"Acople rápido 90° espigado 1 1/2"" - Vulcano SA,0,5,0,3,1,0,2,2.5,31,11"
"Acople rápido 90° liso 1 1/2"" - Vulcano SA,0,8,0,6,1,5,6,1.3333333333333333,29.333333333333332,30"
"Acople rápido 90° liso 1 1/4"" - Vulcano SA,0,2,0,2,1,0,2,1,0,2"
"Acople rápido de bronce recto liso 2"" - Vulcano SA,0.2222222222222222,7,0,6,2,5,6,1.1666666666666667,3.6666666666666665,25"
"Acople rápido p/caño de PVC M-H rosca 1 1/2"" - pegar ø40 - Vulcano SA,0,11,0,8,4,4,8,1.375,23.75,32"
